wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-01-26 15:27:32,867+0000 INFO  [ar-4-thread-3] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "Public Repositories" [id=public]
jvm 1    | 2018-01-26 15:27:32,875+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 2
jvm 1    | 2018-01-26 15:27:32,876+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 3
jvm 1    | 2018-01-26 15:27:32,877+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 3
jvm 1    | 2018-01-26 15:27:32,877+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 4
jvm 1    | 2018-01-26 15:27:32,880+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 4
jvm 1    | 2018-01-26 15:27:32,880+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 5
jvm 1    | 2018-01-26 15:27:32,882+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 5
jvm 1    | 2018-01-26 15:27:32,882+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 6
jvm 1    | 2018-01-26 15:27:32,884+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 6
jvm 1    | 2018-01-26 15:27:32,885+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 7
jvm 1    | 2018-01-26 15:27:32,901+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 7
jvm 1    | 2018-01-26 15:27:32,902+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 8
jvm 1    | 2018-01-26 15:27:32,902+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 8
jvm 1    | 2018-01-26 15:27:32,903+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 9
jvm 1    | 2018-01-26 15:27:32,904+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 9
jvm 1    | 2018-01-26 15:27:32,904+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration.
jvm 1    | 2018-01-26 15:27:32,904+0000 INFO  [jetty-main-1]  org.sonatype.nexus.webapp.WebappBootstrap - Initialized
jvm 1    | 2018-01-26 15:27:33,144+0000 INFO  [jetty-main-1]  org.sonatype.nexus.rest.NexusApplication_UriMatching - Strict URI matching: true
jvm 1    | 2018-01-26 15:27:33,325+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.ModelUtils - Loading model /home/prady/sonatype-work/nexus/conf/ldap.xml
jvm 1    | 2018-01-26 15:27:33,357+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.ModelUtils - Loading model /home/prady/sonatype-work/nexus/conf/lvo-plugin.xml
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule - Resources:
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/analytics/events
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/analytics/settings
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/security-diagnostic
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/support-zip
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/system-information
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities
jvm 1    | 2018-01-26 15:27:33,697+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities/stores
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities/types
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gaDetails
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gavDetails
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckEula
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckInfo
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckStatus
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckSummary/{repositoryId}/{path:.*}
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/logging/log
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/logging/loggers
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/configuration
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository-changelog
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository-content
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository-migration
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/status
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/authenticate
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/download
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/settings
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule - Components:
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.capabilities.internal.rest.CapabilityNotFoundExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.AuthorizationExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.ErrorStatusRuntimeExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.InvalidConfigurationExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.NoSuchRepositoryExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.jackson.JacksonProvider
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.BadRequestExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ConstraintViolationExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.InvalidObjectExceptionMapper
jvm 1    | 2018-01-26 15:27:33,698+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ObjectNotFoundExceptionMapper
jvm 1    | 2018-01-26 15:27:33,699+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ThrowableExceptionMapper
jvm 1    | 2018-01-26 15:27:33,699+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ValidationErrorsExceptionMapper
jvm 1    | 2018-01-26 15:27:33,699+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationExceptionMapper
jvm 1    | 2018-01-26 15:27:33,699+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationMessageExceptionMapper
jvm 1    | 2018-01-26 15:27:34,631+0000 INFO  [jetty-main-1]  org.sonatype.nexus.webresources.internal.WebResourceServiceImpl - Discovered 1971 resources
jvm 1    | 2018-01-26 15:27:34,632+0000 INFO  [jetty-main-1]  org.sonatype.nexus.webresources.internal.WebResourceServlet - Max-age: 30 days (2592000 seconds)
jvm 1    | 2018-01-26 15:27:34,804+0000 INFO  [jetty-main-1]  org.sonatype.nexus.bootstrap.jetty.InstrumentedSelectChannelConnector - Metrics enabled
jvm 1    | 2018-01-26 15:27:34,829+0000 INFO  [jetty-main-1]  org.eclipse.jetty.server.AbstractConnector - Started InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2018-01-26 15:27:34,829+0000 INFO  [jetty-main-1]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Running
jvm 1    | 2018-01-26 15:27:34,830+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Started
jvm 1    | 2018-01-26 15:33:44,617+0000 INFO  [qtp102090915-56]  org.apache.shiro.nexus5727.FixedDefaultWebSessionManager - Global session timeout: 1800000 ms
jvm 1    | 2018-01-26 15:33:44,634+0000 INFO  [qtp102090915-56]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Enabling session validation scheduler...
jvm 1    | 2018-01-26 15:33:44,680+0000 INFO  [qtp102090915-56] *UNKNOWN org.sonatype.nexus.velocity.VelocityEngineProvider - Creating Nexus VelocityEngine
jvm 1    | 2018-01-26 15:33:55,717+0000 INFO  [qtp102090915-52] *UNKNOWN /nexus - nexus: [Noelios Restlet Engine] - Attaching application: org.sonatype.nexus.rest.NexusApplication@20bc4e86 to URI: /nexus/service/local
jvm 1    | 2018-01-26 15:33:55,739+0000 WARN  [qtp102090915-55] *UNKNOWN org.sonatype.security.model.source.FileModelConfigurationSource - No configuration file in place, copying the default one and continuing with it.
jvm 1    | 2018-01-26 15:33:55,755+0000 INFO  [qtp102090915-55] *UNKNOWN org.sonatype.security.model.source.FileModelConfigurationSource - Loading security configuration from: /home/prady/nexus-2.14.5-02/../sonatype-work/nexus/conf/security.xml
jvm 1    | 2018-01-26 15:34:19,251+0000 INFO  [qtp102090915-55] *UNKNOWN org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [shiro-activeSessionCache]
jvm 1    | 2018-01-26 15:34:47,002+0000 INFO  [qtp102090915-55] admin java.util.prefs - Created user preferences directory.
jvm 1    | 2018-01-26 15:43:43,128+0000 INFO  [qtp102090915-56] admin org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Initializing non-existing prefix file of newly added "releasereposatory" [id=releasereposatory]
jvm 1    | 2018-01-26 15:43:43,162+0000 INFO  [ar-4-thread-5] admin org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "releasereposatory" [id=releasereposatory]
jvm 1    | 2018-01-26 15:43:43,239+0000 INFO  [qtp102090915-56] admin org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "releasereposatory" [id=releasereposatory][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-01-26 15:43:43,239+0000 INFO  [qtp102090915-56] admin org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration made by admin...
jvm 1    | 2018-01-26 15:43:43,292+0000 INFO  [qtp102090915-56] admin org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration made by admin...
jvm 1    | 2018-01-26 15:43:43,761+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) started :: Updating repository index "releasereposatory" from path null and below.
jvm 1    | 2018-01-26 15:43:43,848+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="releasereposatory" started.
jvm 1    | 2018-01-26 15:43:43,896+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="releasereposatory" finished: scanned=0, added=0, updated=0, removed=0, scanningDuration=0:00:00.046
jvm 1    | 2018-01-26 15:43:43,898+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository releasereposatory
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2018-01-26 15:43:43,945+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) finished :: Updating repository index "releasereposatory" from path null and below. (started 2018-01-26T15:43:43+00:00, runtime 0:00:00.184)
jvm 1    | 2018-01-26 15:43:43,997+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Scheduled Tasks] made by *TASK...
jvm 1    | 2018-01-26 15:44:31,628+0000 INFO  [qtp102090915-53] admin org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Initializing non-existing prefix file of newly added "snapshotrepo" [id=snapshotrepo]
jvm 1    | 2018-01-26 15:44:31,644+0000 INFO  [ar-4-thread-2] admin org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "snapshotrepo" [id=snapshotrepo]
jvm 1    | 2018-01-26 15:44:31,718+0000 INFO  [qtp102090915-53] admin org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "snapshotrepo" [id=snapshotrepo][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-01-26 15:44:31,718+0000 INFO  [qtp102090915-53] admin org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration made by admin...
jvm 1    | 2018-01-26 15:44:31,727+0000 INFO  [qtp102090915-53] admin org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration made by admin...
jvm 1    | 2018-01-26 15:44:32,231+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) started :: Updating repository index "snapshotrepo" from path null and below.
jvm 1    | 2018-01-26 15:44:32,271+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="snapshotrepo" started.
jvm 1    | 2018-01-26 15:44:32,319+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="snapshotrepo" finished: scanned=0, added=0, updated=0, removed=0, scanningDuration=0:00:00.048
jvm 1    | 2018-01-26 15:44:32,321+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository snapshotrepo
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2018-01-26 15:44:32,347+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) finished :: Updating repository index "snapshotrepo" from path null and below. (started 2018-01-26T15:44:32+00:00, runtime 0:00:00.115)
jvm 1    | 2018-01-26 15:44:32,496+0000 INFO  [pxpool-1-thread-1] admin org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Scheduled Tasks] made by *TASK...
jvm 1    | 2018-01-26 16:33:44,635+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Validating all active sessions...
jvm 1    | 2018-01-26 16:33:44,638+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Finished session validation.  No sessions were stopped.
jvm 1    | 2018-01-26 17:33:44,635+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Validating all active sessions...
jvm 1    | 2018-01-26 17:33:44,636+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Finished session validation.  No sessions were stopped.
jvm 1    | 2018-01-26 18:33:44,635+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Validating all active sessions...
jvm 1    | 2018-01-26 18:33:44,642+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Finished session validation.  [1] sessions were stopped.
jvm 1    | 2018-01-26 19:33:44,635+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Validating all active sessions...
jvm 1    | 2018-01-26 19:33:44,636+0000 INFO  [SessionValidationThread-1]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Finished session validation.  No sessions were stopped.
wrapper  | TERM trapped.  Shutting down.
jvm 1    | 2018-01-26 19:44:25,523+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - Stopping with code: 0
jvm 1    | 2018-01-26 19:44:25,524+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopping
jvm 1    | 2018-01-26 19:44:25,524+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopping: org.eclipse.jetty.server.Server@2e644bfd
jvm 1    | 2018-01-26 19:44:25,525+0000 INFO  [WrapperListener_stop_runner]  org.eclipse.jetty.server.Server - Graceful shutdown InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2018-01-26 19:44:25,526+0000 INFO  [WrapperListener_stop_runner]  org.eclipse.jetty.server.Server - Graceful shutdown o.e.j.w.WebAppContext{/nexus,file:/home/prady/nexus-2.14.5-02/nexus/},/home/prady/nexus-2.14.5-02/nexus
jvm 1    | 2018-01-26 19:44:25,555+0000 INFO  [Wrapper-Control-Event-Monitor]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - Received control event: 205
jvm 1    | 2018-01-26 19:44:25,584+0000 INFO  [SIGTERM handler]  com.orientechnologies.orient.core.OSignalHandler - Received signal: SIGTERM
jvm 1    | 2018-01-26 19:44:26,540+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.webapp.WebappBootstrap - Destroying
jvm 1    | 2018-01-26 19:44:26,582+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.NxApplication - Uptime: 4 hours, 17 minutes, 30 seconds and 169 milliseconds
jvm 1    | 2018-01-26 19:44:26,592+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.scheduling.DefaultScheduler - Shutting down Scheduler...
jvm 1    | 2018-01-26 19:44:26,669+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.timeline.DefaultNexusTimeline - Stopping Nexus Timeline...
jvm 1    | 2018-01-26 19:44:26,670+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.timeline.internal.DefaultTimeline - Stopped Timeline...
jvm 1    | 2018-01-26 19:44:26,760+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.index.DefaultIndexerManager - Shutting down Nexus IndexerManager
jvm 1    | 2018-01-26 19:44:26,771+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.apachehttpclient.Hc4ProviderImpl - Stopped
jvm 1    | 2018-01-26 19:44:26,795+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.events.EventSubscriberHost - Stopping
jvm 1    | 2018-01-26 19:44:26,812+0000 INFO  [WrapperListener_stop_runner]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Disabled session validation scheduler.
jvm 1    | 2018-01-26 19:44:26,814+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.server.OServer - OrientDB Server is shutting down...
jvm 1    | 2018-01-26 19:44:26,818+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.server.OServer - Shutting down protocols
jvm 1    | 2018-01-26 19:44:26,819+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.server.plugin.OServerPluginManager - Shutting down plugins:
jvm 1    | 2018-01-26 19:44:26,820+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.server.plugin.OServerPluginManager - - jmx
jvm 1    | 2018-01-26 19:44:26,821+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.server.OServer - Shutting down databases:
jvm 1    | 2018-01-26 19:44:27,231+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.core.Orient - OrientDB Engine shutdown complete
jvm 1    | 2018-01-26 19:44:27,231+0000 INFO  [WrapperListener_stop_runner]  com.orientechnologies.orient.server.OServer - OrientDB Server shutdown complete
jvm 1    | 2018-01-26 19:44:27,231+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.orient.DatabaseServerImpl - Shutdown
jvm 1    | 2018-01-26 19:44:27,231+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.NxApplication - Stopped Nexus Repository Manager OSS 2.14.5-02
jvm 1    | 2018-01-26 19:44:27,264+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.webapp.WebappBootstrap - Destroyed
jvm 1    | 2018-01-26 19:44:27,265+0000 INFO  [WrapperListener_stop_runner]  org.eclipse.jetty.server.handler.ContextHandler - stopped o.e.j.w.WebAppContext{/nexus,file:/home/prady/nexus-2.14.5-02/nexus/},/home/prady/nexus-2.14.5-02/nexus
wrapper  | JVM exited unexpectedly while stopping the application.
jvm 1    | 2018-01-26 19:44:27,319+0000 INFO  [WrapperListener_stop_runner]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopped
wrapper  | <-- Wrapper Stopped
wrapper  | --> Wrapper Started as Daemon
wrapper  | Launching a JVM...
jvm 1    | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=192m; support was removed in 8.0
jvm 1    | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
jvm 1    |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
jvm 1    | 
jvm 1    | 2018-01-28 05:43:58,575+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - Starting with arguments: [./conf/jetty.xml, ./conf/jetty-requestlog.xml]
jvm 1    | 2018-01-28 05:43:58,583+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - JVM ID: 1, JVM PID: 1148, Wrapper PID: 1146, User: prady
jvm 1    | 2018-01-28 05:43:58,933+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder - Properties:
jvm 1    | 2018-01-28 05:43:58,940+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-conf='/home/prady/nexus-2.14.5-02/../sonatype-work/nexus/conf'
jvm 1    | 2018-01-28 05:43:58,940+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-host='0.0.0.0'
jvm 1    | 2018-01-28 05:43:58,940+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-port='8081'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   bundleBasedir='/home/prady/nexus-2.14.5-02'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   java.awt.headless='true'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   networkaddress.cache.ttl='3600'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-app='/home/prady/nexus-2.14.5-02/nexus/WEB-INF'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp='/home/prady/nexus-2.14.5-02/nexus'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp-context-path='/nexus'
jvm 1    | 2018-01-28 05:43:58,941+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-work='/home/prady/sonatype-work/nexus'
