wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-01-26 15:27:29,338+0000 WARN  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - No configuration file in place, copying the default one and continuing with it.
jvm 1    | 2018-01-26 15:27:29,494+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Configuration loaded successfully.
jvm 1    | 2018-01-26 15:27:29,559+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Nexus configuration validated successfully.
jvm 1    | 2018-01-26 15:27:29,650+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration...
jvm 1    | 2018-01-26 15:27:29,666+0000 INFO  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from /home/prady/nexus-2.14.5-02/../sonatype-work/nexus/conf/security-configuration.xml
jvm 1    | 2018-01-26 15:27:29,671+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthenticatingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2018-01-26 15:27:29,672+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthenticatingRealm.authorizationCache]
jvm 1    | 2018-01-26 15:27:29,673+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthorizingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2018-01-26 15:27:29,674+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthorizingRealm.authorizationCache]
jvm 1    | 2018-01-26 15:27:29,721+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.attributes.DefaultLSAttributeStorage - Default FS AttributeStorage in place, using JacksonJSON marshaller. 
jvm 1    | 2018-01-26 15:27:30,295+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central" [id=central][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2018-01-26 15:27:30,463+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Apache Snapshots" [id=apache-snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2018-01-26 15:27:30,600+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Releases" [id=releases][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-01-26 15:27:30,736+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Snapshots" [id=snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-01-26 15:27:30,856+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "3rd party" [id=thirdparty][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-01-26 15:27:30,873+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central M1 shadow" [id=central-m1][contentClass=Maven1][mainFacet=org.sonatype.nexus.proxy.maven.MavenShadowRepository]
jvm 1    | 2018-01-26 15:27:30,924+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Public Repositories" [id=public][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.repository.GroupRepository]
jvm 1    | 2018-01-26 15:27:30,924+0000 INFO  [jetty-main-1]  org.sonatype.scheduling.DefaultScheduler - Initializing Scheduler...
jvm 1    | 2018-01-26 15:27:30,939+0000 INFO  [jetty-main-1]  org.sonatype.nexus.scheduling.internal.DefaultTaskConfigManager - 0 task(s) to load.
jvm 1    | 2018-01-26 15:27:30,940+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - This is 1st start of new Nexus instance.
jvm 1    | 2018-01-26 15:27:30,940+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Nexus Work Directory : /home/prady/sonatype-work/nexus
jvm 1    | 2018-01-26 15:27:30,940+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Started Nexus Repository Manager OSS 2.14.5-02
jvm 1    | 2018-01-26 15:27:30,943+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for site content class
jvm 1    | 2018-01-26 15:27:30,944+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for npm content class
jvm 1    | 2018-01-26 15:27:30,944+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for nuget content class
jvm 1    | 2018-01-26 15:27:30,944+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for rubygems content class
jvm 1    | 2018-01-26 15:27:30,945+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Repository Target Registry]...
jvm 1    | 2018-01-26 15:27:31,337+0000 INFO  [ar-4-thread-5] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "3rd party" [id=thirdparty]
jvm 1    | 2018-01-26 15:27:31,345+0000 INFO  [ar-4-thread-4] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "Releases" [id=releases]
jvm 1    | 2018-01-26 15:27:31,388+0000 INFO  [ar-4-thread-2] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "Snapshots" [id=snapshots]
jvm 1    | 2018-01-26 15:27:31,989+0000 INFO  [ar-4-thread-1] *TASK org.sonatype.nexus.proxy.storage.remote.httpclient.HttpClientRemoteStorage - Initializing remote transport for proxy repository "Apache Snapshots" [id=apache-snapshots]...
jvm 1    | 2018-01-26 15:27:32,049+0000 INFO  [ar-4-thread-3] *TASK org.sonatype.nexus.proxy.storage.remote.httpclient.HttpClientRemoteStorage - Initializing remote transport for proxy repository "Central" [id=central]...
jvm 1    | 2018-01-26 15:27:32,810+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration.
jvm 1    | 2018-01-26 15:27:32,812+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 1
jvm 1    | 2018-01-26 15:27:32,848+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 1
jvm 1    | 2018-01-26 15:27:32,849+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 2
